sub_icb_location_code,sub_icb_location_ons_code,sub_icb_location_name,icb_ons_code,region_ons_code,appointment_date,actual_duration,count_of_appointments
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,31-60 Minutes,346
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,16-20 Minutes,721
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,1-5 Minutes,1411
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,Unknown / Data Quality,1564
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,21-30 Minutes,654
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,14-Dec-21,6-10 Minutes,1715
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,16-20 Minutes,752
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,Unknown / Data Quality,1300
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,6-10 Minutes,1628
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,21-30 Minutes,611
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,31-60 Minutes,356
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,1-5 Minutes,1406
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,15-Dec-21,11-15 Minutes,1147
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,11-15 Minutes,1061
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,Unknown / Data Quality,1199
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,6-10 Minutes,1436
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,31-60 Minutes,351
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,16-20 Minutes,632
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,1-5 Minutes,1267
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,16-Dec-21,21-30 Minutes,574
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,31-60 Minutes,340
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,21-30 Minutes,596
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,6-10 Minutes,1513
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,Unknown / Data Quality,1285
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,11-15 Minutes,1075
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,16-20 Minutes,644
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,17-Dec-21,1-5 Minutes,1366
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,18-Dec-21,Unknown / Data Quality,125
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,18-Dec-21,16-20 Minutes,6
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,18-Dec-21,11-15 Minutes,16
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,18-Dec-21,21-30 Minutes,3
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,18-Dec-21,6-10 Minutes,32
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,18-Dec-21,1-5 Minutes,65
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,Unknown / Data Quality,1341
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,6-10 Minutes,2013
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,21-30 Minutes,698
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,1-5 Minutes,1641
